artist,album,danceability,energy,acousticness,loudness,anger,joy,sadness,surprise
MC Eiht,Which Way Iz West,0.546933333,0.891133333,0.24378,-3.288266667,0.306788554,0.258833418,0.212442184,0.221935843
Laurel Halo,Dust,0.543636364,0.553727273,0.637090909,-11.20872727,0.22208562,0.24950959,0.204434706,0.323970083
Colter Wall,Colter Wall,0.609454545,0.224818182,0.884909091,-15.982,0.244471546,0.26127893,0.273206307,0.221043218
Jeff Tweedy,Together at Last,0.671363636,0.114672727,0.897636364,-16.47890909,0.207803712,0.28918198,0.292251604,0.210762704
Rozwell Kid,Precious Art,0.5075,0.686166667,0.13877775,-7.35875,0.270161585,0.236107982,0.269659209,0.224071225
Andrew Bird,Armchair Apocrypha,0.48575,0.540666667,0.409783333,-10.61333333,0.276994697,0.226967057,0.246855095,0.24918315
The Zincs,Black Pompadour,0.5835,0.5915,0.2344424,-9.8851,0.27008036,0.252814417,0.242960717,0.234144506
Panda Bear,Person Pitch,0.336571429,0.659285714,0.45352,-15.389,0.243014224,0.277893453,0.251429073,0.22766325
Brother Ali,Mourning in America and Dreaming in Color,0.6128125,0.7748125,0.07043625,-6.4244375,0.276923245,0.247300856,0.268438087,0.207337812
The Gaslamp Killer,Breakthrough,0.462647059,0.766176471,0.215108194,-7.895823529,0.29241478,0.244255944,0.233995644,0.229333632
Band of Horses,Mirage Rock,0.53175,0.507833333,0.22015109,-11.63316667,0.255248135,0.267555952,0.237710103,0.23948581
Hooded Menace,Effigies of Evil,0.313836364,0.749727273,0.081885161,-8.033727273,0.29465024,0.191803695,0.288321709,0.225224355
The Sea and Cake,Runner,0.6307,0.607,0.20629,-8.319,0.22208979,0.239787813,0.269945623,0.268176774
Woods,Bend Beyond,0.404333333,0.789916667,0.350425,-4.76825,0.233722934,0.253501237,0.234905384,0.277870445
Calexico,Algiers,0.448333333,0.514,0.369106667,-11.6678,0.234785598,0.263280606,0.24447506,0.257458737
Six Organs of Admittance,Ascent,0.2425875,0.567,0.33192875,-8.961875,0.251642911,0.231256496,0.250113171,0.266987422
Isis,Panopticon,0.345142857,0.647571429,0.022208,-6.444285714,0.237990651,0.227301767,0.239491946,0.295215636
Willie Nelson,It Always Will Be,0.539,0.494142857,0.528391429,-9.193142857,0.239119114,0.273929858,0.26013706,0.226813968
Annie,Anniemal,0.729916667,0.735083333,0.175879417,-5.890833333,0.219880322,0.30189281,0.231526284,0.246700583
Vordul Mega,The Revolution of Yung Havoks,0.6635,0.75875,0.116385,-5.623083333,0.236889786,0.285618224,0.262972166,0.214519823
Fleetwood Mac,Tusk,0.66808,0.508732,0.3769896,-12.112,0.237264521,0.275188386,0.244289881,0.243257212
The Julie Ruin,Hit Reset,0.548307692,0.786923077,0.078770885,-3.915923077,0.233934404,0.264242302,0.255139843,0.24668345
Migos,3 Way,0.870071429,0.368428571,0.095361429,-11.42914286,0.360663475,0.170082912,0.274637531,0.194616082
Shura,Nothing’s Real,0.567692308,0.655992308,0.243495,-9.744769231,0.256191598,0.225892375,0.245380681,0.272535346
